"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2023","32,560","32,585","32,675","32,340","5.85M","-0.60%"
"02/12/2023","32,755","32,755","32,755","32,755","","0.00%"
"02/10/2023","32,755","32,635","32,790","32,520","5.36M","-0.26%"
"02/09/2023","32,840","32,750","32,970","32,665","3.56M","-0.32%"
"02/08/2023","32,945","32,645","33,050","32,640","3.83M","1.56%"
"02/07/2023","32,440","32,265","32,540","32,190","2.97M","0.62%"
"02/06/2023","32,240","32,695","32,780","32,240","5.78M","-2.27%"
"02/05/2023","32,990","32,990","32,990","32,990","","0.00%"
"02/03/2023","32,990","32,795","33,080","32,660","3.73M","0.41%"
"02/02/2023","32,855","32,950","33,085","32,595","5.66M","1.08%"
"02/01/2023","32,505","32,385","32,585","32,280","4.40M","1.09%"
"01/31/2023","32,155","32,660","32,720","32,115","4.59M","-1.55%"
"01/30/2023","32,660","33,200","33,290","32,650","4.20M","-1.58%"
"01/29/2023","33,185","33,185","33,185","33,185","","-0.23%"
"01/27/2023","33,260","33,070","33,475","32,940","3.89M","0.79%"
"01/26/2023","33,000","32,580","33,035","32,500","3.77M","1.38%"
"01/25/2023","32,550","32,495","32,650","32,450","2.76M","1.58%"
"01/24/2023","32,045","32,045","32,045","32,045","","0.00%"
"01/20/2023","32,045","31,805","32,055","31,715","3.61M","0.66%"
"01/19/2023","31,835","31,470","31,840","31,470","3.20M","0.62%"
"01/18/2023","31,640","31,810","31,880","31,465","2.94M","-0.64%"
"01/17/2023","31,845","32,080","32,130","31,800","3.26M","-0.79%"
"01/16/2023","32,100","31,905","32,235","31,875","3.57M","0.80%"
"01/15/2023","31,845","31,845","31,845","31,845","","0.00%"
"01/13/2023","31,845","31,695","32,025","31,685","3.95M","0.73%"
"01/12/2023","31,615","31,715","31,750","31,445","2.89M","0.29%"
"01/11/2023","31,525","31,610","31,705","31,375","3.61M","0.17%"
"01/10/2023","31,470","31,345","31,675","31,295","4.78M","0.13%"
"01/09/2023","31,430","30,945","31,440","30,895","5.34M","2.70%"
"01/06/2023","30,605","30,070","30,765","30,070","4.83M","1.07%"
"01/05/2023","30,280","30,210","30,425","30,045","4.72M","0.80%"
"01/04/2023","30,040","29,255","30,110","29,240","5.83M","2.11%"
"01/03/2023","29,420","29,455","29,545","28,870","6.42M","0.00%"
"01/02/2023","29,420","29,665","29,830","29,390","5.00M","-0.59%"
"12/29/2022","29,595","29,970","30,010","29,595","3.53M","-1.79%"
"12/28/2022","30,135","30,355","30,395","30,100","4.30M","-1.18%"
"12/27/2022","30,495","30,410","30,565","30,355","2.87M","0.71%"
"12/26/2022","30,280","30,205","30,315","30,130","2.97M","0.15%"
"12/23/2022","30,235","30,420","30,500","30,180","3.97M","-1.72%"
"12/22/2022","30,765","30,510","30,765","30,440","3.13M","1.30%"
"12/21/2022","30,370","30,630","30,635","30,335","3.56M","-0.25%"
"12/20/2022","30,445","30,585","30,690","30,320","2.79M","-0.83%"
"12/19/2022","30,700","30,620","30,835","30,575","2.56M","0.02%"
"12/18/2022","30,695","30,695","30,695","30,695","","0.00%"
"12/16/2022","30,695","30,380","30,735","30,375","3.24M","-0.47%"
"12/15/2022","30,840","31,170","31,210","30,840","3.46M","-1.66%"
"12/14/2022","31,360","31,125","31,395","31,115","2.96M","1.13%"
"12/13/2022","31,010","31,200","31,225","30,900","3.52M","-0.08%"
"12/12/2022","31,035","31,010","31,100","30,930","2.42M","-0.62%"
"12/09/2022","31,230","31,025","31,275","30,905","4.02M","1.17%"
"12/08/2022","30,870","30,895","30,935","30,660","4.38M","0.00%"
"12/07/2022","30,870","30,935","31,065","30,850","2.47M","-0.56%"
"12/06/2022","31,045","31,175","31,370","31,025","2.91M","-1.27%"
"12/05/2022","31,445","31,655","31,750","31,355","5.23M","-0.32%"
